seed,mrr_ta_sdm,recall5_ta_sdm,mrr_content,recall5_content
0,0.8987,0.6396,0.2880,0.1100
1,0.9124,0.6983,0.2967,0.1385
2,0.9033,0.6834,0.2308,0.1090
3,0.9301,0.6329,0.3465,0.1480
4,0.8551,0.6081,0.2674,0.1181
5,0.8763,0.6724,0.2217,0.0953
6,0.9900,0.7019,0.3144,0.1396
7,0.8961,0.6862,0.2413,0.1379
8,0.9412,0.7211,0.2432,0.1147
9,0.9350,0.7138,0.2002,0.1002
